1544 114.8614,38.29356 115.0025,38.28798 114.8684,38.40432 115.0098,38.39873
1545 115.0025,38.28798 115.1436,38.28221 115.0098,38.39873 115.1511,38.39295
1546 115.1436,38.28221 115.2846,38.27625 115.1511,38.39295 115.2924,38.38697
1547 115.2846,38.27625 115.4257,38.27008 115.2924,38.38697 115.4336,38.3808
1605 114.8684,38.40432 115.0098,38.39873 114.8754,38.5151 115.017,38.50951
1606 115.0098,38.39873 115.1511,38.39295 115.017,38.50951 115.1586,38.50371
1607 115.1511,38.39295 115.2924,38.38697 115.1586,38.50371 115.3001,38.49772
1608 115.2924,38.38697 115.4336,38.3808 115.3001,38.49772 115.4417,38.49154
1609 115.4336,38.3808 115.5749,38.37443 115.4417,38.49154 115.5831,38.48516
1610 115.5749,38.37443 115.7161,38.36787 115.5831,38.48516 115.7246,38.47858
1664 114.5922,38.52571 114.7338,38.5205 114.5987,38.63654 114.7406,38.63132
1665 114.7338,38.5205 114.8754,38.5151 114.7406,38.63132 114.8825,38.62591
1666 114.8754,38.5151 115.017,38.50951 114.8825,38.62591 115.0243,38.6203
1667 115.017,38.50951 115.1586,38.50371 115.0243,38.6203 115.1661,38.6145
1668 115.1586,38.50371 115.3001,38.49772 115.1661,38.6145 115.3079,38.6085
1669 115.3001,38.49772 115.4417,38.49154 115.3079,38.6085 115.4497,38.6023
1670 115.4417,38.49154 115.5831,38.48516 115.4497,38.6023 115.5914,38.59591
1671 115.5831,38.48516 115.7246,38.47858 115.5914,38.59591 115.7331,38.58932
1672 115.7246,38.47858 115.866,38.47181 115.7331,38.58932 115.8748,38.58253
1724 114.4568,38.64156 114.5987,38.63654 114.4631,38.75243 114.6053,38.7474
1725 114.5987,38.63654 114.7406,38.63132 114.6053,38.7474 114.7474,38.74217
1726 114.7406,38.63132 114.8825,38.62591 114.7474,38.74217 114.8895,38.73675
1727 114.8825,38.62591 115.0243,38.6203 114.8895,38.73675 115.0316,38.73113
1728 115.0243,38.6203 115.1661,38.6145 115.0316,38.73113 115.1737,38.72531
1729 115.1661,38.6145 115.3079,38.6085 115.1737,38.72531 115.3158,38.7193
1730 115.3079,38.6085 115.4497,38.6023 115.3158,38.7193 115.4578,38.71309
1731 115.4497,38.6023 115.5914,38.59591 115.4578,38.71309 115.5997,38.70668
1732 115.5914,38.59591 115.7331,38.58932 115.5997,38.70668 115.7417,38.70008
1733 115.7331,38.58932 115.8748,38.58253 115.7417,38.70008 115.8836,38.69328
1734 115.8748,38.58253 116.0164,38.57555 115.8836,38.69328 116.0255,38.68628
1780 113.752,38.77463 113.8942,38.77058 113.757,38.88556 113.8996,38.88151
1781 113.8942,38.77058 114.0365,38.76634 113.8996,38.88151 114.0421,38.87726
1782 114.0365,38.76634 114.1787,38.7619 114.0421,38.87726 114.1846,38.87281
1783 114.1787,38.7619 114.3209,38.75726 114.1846,38.87281 114.327,38.86816
1784 114.3209,38.75726 114.4631,38.75243 114.327,38.86816 114.4695,38.86332
1785 114.4631,38.75243 114.6053,38.7474 114.4695,38.86332 114.6119,38.85828
1786 114.6053,38.7474 114.7474,38.74217 114.6119,38.85828 114.7543,38.85304
1787 114.7474,38.74217 114.8895,38.73675 114.7543,38.85304 114.8966,38.84761
1788 114.8895,38.73675 115.0316,38.73113 114.8966,38.84761 115.039,38.84198
1789 115.0316,38.73113 115.1737,38.72531 115.039,38.84198 115.1813,38.83615
1790 115.1737,38.72531 115.3158,38.7193 115.1813,38.83615 115.3236,38.83012
1791 115.3158,38.7193 115.4578,38.71309 115.3236,38.83012 115.4659,38.8239
1792 115.4578,38.71309 115.5997,38.70668 115.4659,38.8239 115.6081,38.81748
1793 115.5997,38.70668 115.7417,38.70008 115.6081,38.81748 115.7503,38.81086
1794 115.7417,38.70008 115.8836,38.69328 115.7503,38.81086 115.8925,38.80405
1795 115.8836,38.69328 116.0255,38.68628 115.8925,38.80405 116.0346,38.79704
1841 113.757,38.88556 113.8996,38.88151 113.7621,38.99652 113.9049,38.99246
1842 113.8996,38.88151 114.0421,38.87726 113.9049,38.99246 114.0477,38.9882
1843 114.0421,38.87726 114.1846,38.87281 114.0477,38.9882 114.1904,38.98374
1844 114.1846,38.87281 114.327,38.86816 114.1904,38.98374 114.3331,38.97909
1845 114.327,38.86816 114.4695,38.86332 114.3331,38.97909 114.4758,38.97424
1846 114.4695,38.86332 114.6119,38.85828 114.4758,38.97424 114.6185,38.96918
1847 114.6119,38.85828 114.7543,38.85304 114.6185,38.96918 114.7611,38.96394
1848 114.7543,38.85304 114.8966,38.84761 114.7611,38.96394 114.9038,38.95849
1849 114.8966,38.84761 115.039,38.84198 114.9038,38.95849 115.0464,38.95285
1850 115.039,38.84198 115.1813,38.83615 115.0464,38.95285 115.1889,38.94701
1851 115.1813,38.83615 115.3236,38.83012 115.1889,38.94701 115.3315,38.94097
1852 115.3236,38.83012 115.4659,38.8239 115.3315,38.94097 115.474,38.93473
1853 115.4659,38.8239 115.6081,38.81748 115.474,38.93473 115.6165,38.9283
1854 115.6081,38.81748 115.7503,38.81086 115.6165,38.9283 115.7589,38.92167
1855 115.7503,38.81086 115.8925,38.80405 115.7589,38.92167 115.9014,38.91485
1856 115.8925,38.80405 116.0346,38.79704 115.9014,38.91485 116.0438,38.90783
1902 113.7621,38.99652 113.9049,38.99246 113.7672,39.1075 113.9103,39.10343
1903 113.9049,38.99246 114.0477,38.9882 113.9103,39.10343 114.0533,39.09916
1904 114.0477,38.9882 114.1904,38.98374 114.0533,39.09916 114.1963,39.0947
1905 114.1904,38.98374 114.3331,38.97909 114.1963,39.0947 114.3392,39.09003
1906 114.3331,38.97909 114.4758,38.97424 114.3392,39.09003 114.4822,39.08517
1907 114.4758,38.97424 114.6185,38.96918 114.4822,39.08517 114.6251,39.08011
1908 114.6185,38.96918 114.7611,38.96394 114.6251,39.08011 114.768,39.07485
1909 114.7611,38.96394 114.9038,38.95849 114.768,39.07485 114.9109,39.0694
1910 114.9038,38.95849 115.0464,38.95285 114.9109,39.0694 115.0537,39.06374
1911 115.0464,38.95285 115.1889,38.94701 115.0537,39.06374 115.1966,39.05789
