1188 116.215,37.56579 116.3543,37.55836 116.2243,37.67627 116.3639,37.66882
1189 116.3543,37.55836 116.4936,37.55074 116.3639,37.66882 116.5034,37.66118
1190 116.4936,37.55074 116.6329,37.54292 116.5034,37.66118 116.6429,37.65334
1250 116.3639,37.66882 116.5034,37.66118 116.3734,37.7793 116.5132,37.77165
1251 116.5034,37.66118 116.6429,37.65334 116.5132,37.77165 116.6529,37.7638
1311 116.3734,37.7793 116.5132,37.77165 116.383,37.88982 116.523,37.88214
1312 116.5132,37.77165 116.6529,37.7638 116.523,37.88214 116.663,37.87428
1313 116.6529,37.7638 116.7927,37.75576 116.663,37.87428 116.803,37.86622
1372 116.383,37.88982 116.523,37.88214 116.3926,38.00035 116.5329,37.99267
1373 116.523,37.88214 116.663,37.87428 116.5329,37.99267 116.6731,37.98479
1374 116.663,37.87428 116.803,37.86622 116.6731,37.98479 116.8133,37.97672
1375 116.803,37.86622 116.9429,37.85797 116.8133,37.97672 116.9535,37.96844
1376 116.9429,37.85797 117.0828,37.84953 116.9535,37.96844 117.0936,37.95999
1377 117.0828,37.84953 117.2226,37.84089 117.0936,37.95999 117.2337,37.95133
1378 117.2226,37.84089 117.3624,37.83206 117.2337,37.95133 117.3738,37.94249
1430 115.9716,38.02225 116.1119,38.01515 115.9805,38.13286 116.1211,38.12574
1431 116.1119,38.01515 116.2523,38.00785 116.1211,38.12574 116.2617,38.11843
1432 116.2523,38.00785 116.3926,38.00035 116.2617,38.11843 116.4022,38.11092
1434 116.5329,37.99267 116.6731,37.98479 116.5428,38.10322 116.6833,38.09532
1435 116.6731,37.98479 116.8133,37.97672 116.6833,38.09532 116.8237,38.08723
1436 116.8133,37.97672 116.9535,37.96844 116.8237,38.08723 116.9641,38.07895
1437 116.9535,37.96844 117.0936,37.95999 116.9641,38.07895 117.1045,38.07047
1438 117.0936,37.95999 117.2337,37.95133 117.1045,38.07047 117.2448,38.0618
1439 117.2337,37.95133 117.3738,37.94249 117.2448,38.0618 117.3851,38.05294
1440 117.3738,37.94249 117.5138,37.93345 117.3851,38.05294 117.5254,38.04388
1490 115.8398,38.13979 115.9805,38.13286 115.8485,38.25043 115.9894,38.2435
1491 115.9805,38.13286 116.1211,38.12574 115.9894,38.2435 116.1303,38.23636
1492 116.1211,38.12574 116.2617,38.11843 116.1303,38.23636 116.2711,38.22903
1493 116.2617,38.11843 116.4022,38.11092 116.2711,38.22903 116.4119,38.22151
1494 116.4022,38.11092 116.5428,38.10322 116.4119,38.22151 116.5527,38.21379
1495 116.5428,38.10322 116.6833,38.09532 116.5527,38.21379 116.6934,38.20588
1496 116.6833,38.09532 116.8237,38.08723 116.6934,38.20588 116.8341,38.19777
1497 116.8237,38.08723 116.9641,38.07895 116.8341,38.19777 116.9748,38.18948
1498 116.9641,38.07895 117.1045,38.07047 116.9748,38.18948 117.1154,38.18098
1499 117.1045,38.07047 117.2448,38.0618 117.1154,38.18098 117.256,38.17229
1500 117.2448,38.0618 117.3851,38.05294 117.256,38.17229 117.3965,38.16341
1501 117.3851,38.05294 117.5254,38.04388 117.3965,38.16341 117.537,38.15434
1502 117.5254,38.04388 117.6656,38.03463 117.537,38.15434 117.6775,38.14507
1550 115.7076,38.25718 115.8485,38.25043 115.7161,38.36787 115.8573,38.36111
1551 115.8485,38.25043 115.9894,38.2435 115.8573,38.36111 115.9984,38.35416
1552 115.9894,38.2435 116.1303,38.23636 115.9984,38.35416 116.1395,38.34701
1553 116.1303,38.23636 116.2711,38.22903 116.1395,38.34701 116.2806,38.33966
1554 116.2711,38.22903 116.4119,38.22151 116.2806,38.33966 116.4216,38.33213
1555 116.4119,38.22151 116.5527,38.21379 116.4216,38.33213 116.5627,38.32439
1556 116.5527,38.21379 116.6934,38.20588 116.5627,38.32439 116.7036,38.31646
1557 116.6934,38.20588 116.8341,38.19777 116.7036,38.31646 116.8446,38.30834
1558 116.8341,38.19777 116.9748,38.18948 116.8446,38.30834 116.9855,38.30003
1559 116.9748,38.18948 117.1154,38.18098 116.9855,38.30003 117.1264,38.29152
1560 117.1154,38.18098 117.256,38.17229 117.1264,38.29152 117.2672,38.28281
1561 117.256,38.17229 117.3965,38.16341 117.2672,38.28281 117.408,38.27391
1562 117.3965,38.16341 117.537,38.15434 117.408,38.27391 117.5487,38.26482
1563 117.537,38.15434 117.6775,38.14507 117.5487,38.26482 117.6894,38.25553
1564 117.6775,38.14507 117.8179,38.1356 117.6894,38.25553 117.8301,38.24605
