2564 112.5079,40.2468 112.6537,40.24448 112.5109,40.35808 112.6569,40.35574
2718 117.1848,40.29386 117.3302,40.28504 117.1962,40.40482 117.3419,40.39598
2719 117.3302,40.28504 117.4756,40.27602 117.3419,40.39598 117.4876,40.38694
2720 117.4756,40.27602 117.621,40.26679 117.4876,40.38694 117.6332,40.3777
2721 117.621,40.26679 117.7663,40.25737 117.6332,40.3777 117.7788,40.36826
2722 117.7663,40.25737 117.9116,40.24774 117.7788,40.36826 117.9243,40.35861
2779 117.1962,40.40482 117.3419,40.39598 117.2077,40.5158 117.3537,40.50695
2780 117.3419,40.39598 117.4876,40.38694 117.3537,40.50695 117.4996,40.49789
2781 117.4876,40.38694 117.6332,40.3777 117.4996,40.49789 117.6455,40.48863
2782 117.6332,40.3777 117.7788,40.36826 117.6455,40.48863 117.7914,40.47916
2783 117.7788,40.36826 117.9243,40.35861 117.7914,40.47916 117.9371,40.4695
2784 117.9243,40.35861 118.0698,40.34876 117.9371,40.4695 118.0829,40.45963
2785 118.0698,40.34876 118.2153,40.33871 118.0829,40.45963 118.2286,40.44956
2840 117.2077,40.5158 117.3537,40.50695 117.2193,40.6268 117.3655,40.61793
2841 117.3537,40.50695 117.4996,40.49789 117.3655,40.61793 117.5117,40.60885
2842 117.4996,40.49789 117.6455,40.48863 117.5117,40.60885 117.6578,40.59957
2843 117.6455,40.48863 117.7914,40.47916 117.6578,40.59957 117.804,40.59009
2844 117.7914,40.47916 117.9371,40.4695 117.804,40.59009 117.95,40.5804
2845 117.9371,40.4695 118.0829,40.45963 117.95,40.5804 118.096,40.57052
2846 118.0829,40.45963 118.2286,40.44956 118.096,40.57052 118.242,40.56043
2847 118.2286,40.44956 118.3743,40.43929 118.242,40.56043 118.3879,40.55014
2848 118.3743,40.43929 118.5199,40.42882 118.3879,40.55014 118.5338,40.53965
2849 118.5199,40.42882 118.6654,40.41815 118.5338,40.53965 118.6796,40.52895
2902 117.3655,40.61793 117.5117,40.60885 117.3773,40.72892 117.5238,40.71983
2903 117.5117,40.60885 117.6578,40.59957 117.5238,40.71983 117.6702,40.71053
2904 117.6578,40.59957 117.804,40.59009 117.6702,40.71053 117.8166,40.70103
2905 117.804,40.59009 117.95,40.5804 117.8166,40.70103 117.9629,40.69133
2906 117.95,40.5804 118.096,40.57052 117.9629,40.69133 118.1092,40.68142
2907 118.096,40.57052 118.242,40.56043 118.1092,40.68142 118.2554,40.67131
2908 118.242,40.56043 118.3879,40.55014 118.2554,40.67131 118.4016,40.661
2909 118.3879,40.55014 118.5338,40.53965 118.4016,40.661 118.5477,40.65049
2910 118.5338,40.53965 118.6796,40.52895 118.5477,40.65049 118.6938,40.63977
2911 118.6796,40.52895 118.8253,40.51805 118.6938,40.63977 118.8398,40.62885
2959 116.7911,40.76327 116.9377,40.75499 116.8019,40.87436 116.9488,40.86605
2960 116.9377,40.75499 117.0843,40.74651 116.9488,40.86605 117.0957,40.85755
2961 117.0843,40.74651 117.2309,40.73782 117.0957,40.85755 117.2425,40.84885
2962 117.2309,40.73782 117.3773,40.72892 117.2425,40.84885 117.3892,40.83994
2963 117.3773,40.72892 117.5238,40.71983 117.3892,40.83994 117.536,40.83082
2964 117.5238,40.71983 117.6702,40.71053 117.536,40.83082 117.6826,40.82151
2965 117.6702,40.71053 117.8166,40.70103 117.6826,40.82151 117.8293,40.81199
2966 117.8166,40.70103 117.9629,40.69133 117.8293,40.81199 117.9759,40.80226
2967 117.9629,40.69133 118.1092,40.68142 117.9759,40.80226 118.1224,40.79234
2968 118.1092,40.68142 118.2554,40.67131 118.1224,40.79234 118.2689,40.78221
2969 118.2554,40.67131 118.4016,40.661 118.2689,40.78221 118.4154,40.77188
2970 118.4016,40.661 118.5477,40.65049 118.4154,40.77188 118.5617,40.76134
2971 118.5477,40.65049 118.6938,40.63977 118.5617,40.76134 118.7081,40.75061
2972 118.6938,40.63977 118.8398,40.62885 118.7081,40.75061 118.8544,40.73967
2973 118.8398,40.62885 118.9858,40.61773 118.8544,40.73967 119.0006,40.72853
2974 118.9858,40.61773 119.1317,40.60641 119.0006,40.72853 119.1468,40.71718
2975 119.1317,40.60641 119.2776,40.59489 119.1468,40.71718 119.2929,40.70564
3019 116.655,40.88245 116.8019,40.87436 116.6656,40.99356 116.8128,40.98545
3020 116.8019,40.87436 116.9488,40.86605 116.8128,40.98545 116.9599,40.97713
3021 116.9488,40.86605 117.0957,40.85755 116.9599,40.97713 117.1071,40.96862
3022 117.0957,40.85755 117.2425,40.84885 117.1071,40.96862 117.2541,40.95989
3023 117.2425,40.84885 117.3892,40.83994 117.2541,40.95989 117.4012,40.95096
3024 117.3892,40.83994 117.536,40.83082 117.4012,40.95096 117.5482,40.94183
