2350 116.829,39.64532 116.973,39.637 116.8397,39.75621 116.9839,39.74787
2351 116.973,39.637 117.1169,39.62849 116.9839,39.74787 117.1281,39.73933
2352 117.1169,39.62849 117.2608,39.61977 117.1281,39.73933 117.2723,39.7306
2411 116.8397,39.75621 116.9839,39.74787 116.8504,39.86711 116.9949,39.85875
2412 116.9839,39.74787 117.1281,39.73933 116.9949,39.85875 117.1394,39.8502
2413 117.1281,39.73933 117.2723,39.7306 117.1394,39.8502 117.2838,39.84145
2471 116.7059,39.87526 116.8504,39.86711 116.7164,39.98619 116.8612,39.97803
2472 116.8504,39.86711 116.9949,39.85875 116.8612,39.97803 117.006,39.96966
2473 116.9949,39.85875 117.1394,39.8502 117.006,39.96966 117.1507,39.96109
2474 117.1394,39.8502 117.2838,39.84145 117.1507,39.96109 117.2953,39.95232
2532 116.7164,39.98619 116.8612,39.97803 116.727,40.09715 116.872,40.08897
2533 116.8612,39.97803 117.006,39.96966 116.872,40.08897 117.017,40.08058
2534 117.006,39.96966 117.1507,39.96109 117.017,40.08058 117.162,40.07199
2535 117.1507,39.96109 117.2953,39.95232 117.162,40.07199 117.3069,40.06321
2596 117.162,40.07199 117.3069,40.06321 117.1734,40.18292 117.3186,40.17411
