2364 118.8406,39.51077 118.984,39.49968 118.8549,39.62139 118.9985,39.61027
2365 118.984,39.49968 119.1273,39.48838 118.9985,39.61027 119.1421,39.59895
2366 119.1273,39.48838 119.2705,39.47689 119.1421,39.59895 119.2855,39.58743
2367 119.2705,39.47689 119.4137,39.46519 119.2855,39.58743 119.429,39.57572
2368 119.4137,39.46519 119.5568,39.45331 119.429,39.57572 119.5723,39.5638
2424 118.7113,39.63231 118.8549,39.62139 118.7254,39.74296 118.8693,39.73202
2425 118.8549,39.62139 118.9985,39.61027 118.8693,39.73202 119.0131,39.72087
2426 118.9985,39.61027 119.1421,39.59895 119.0131,39.72087 119.1569,39.70953
2427 119.1421,39.59895 119.2855,39.58743 119.1569,39.70953 119.3006,39.698
2428 119.2855,39.58743 119.429,39.57572 119.3006,39.698 119.4443,39.68626
2429 119.429,39.57572 119.5723,39.5638 119.4443,39.68626 119.5879,39.67432
2485 118.7254,39.74296 118.8693,39.73202 118.7395,39.85363 118.8836,39.84267
2486 118.8693,39.73202 119.0131,39.72087 118.8836,39.84267 119.0277,39.8315
2487 119.0131,39.72087 119.1569,39.70953 119.0277,39.8315 119.1718,39.82014
2488 119.1569,39.70953 119.3006,39.698 119.1718,39.82014 119.3158,39.80858
2489 119.3006,39.698 119.4443,39.68626 119.3158,39.80858 119.4597,39.79682
2490 119.4443,39.68626 119.5879,39.67432 119.4597,39.79682 119.6036,39.78486
2546 118.7395,39.85363 118.8836,39.84267 118.7537,39.96432 118.8981,39.95334
2547 118.8836,39.84267 119.0277,39.8315 118.8981,39.95334 119.0424,39.94215
2548 119.0277,39.8315 119.1718,39.82014 119.0424,39.94215 119.1867,39.93077
2549 119.1718,39.82014 119.3158,39.80858 119.1867,39.93077 119.331,39.91918
2550 119.3158,39.80858 119.4597,39.79682 119.331,39.91918 119.4752,39.9074
2551 119.4597,39.79682 119.6036,39.78486 119.4752,39.9074 119.6193,39.89542
2552 119.6036,39.78486 119.7474,39.7727 119.6193,39.89542 119.7634,39.88323
2607 118.7537,39.96432 118.8981,39.95334 118.7679,40.07504 118.9126,40.06403
2608 118.8981,39.95334 119.0424,39.94215 118.9126,40.06403 119.0572,40.05282
2609 119.0424,39.94215 119.1867,39.93077 119.0572,40.05282 119.2017,40.04141
2610 119.1867,39.93077 119.331,39.91918 119.2017,40.04141 119.3463,40.0298
2611 119.331,39.91918 119.4752,39.9074 119.3463,40.0298 119.4907,40.01799
2612 119.4752,39.9074 119.6193,39.89542 119.4907,40.01799 119.6351,40.00599
2613 119.6193,39.89542 119.7634,39.88323 119.6351,40.00599 119.7794,39.99378
2614 119.7634,39.88323 119.9074,39.87085 119.7794,39.99378 119.9237,39.98138
2668 118.7679,40.07504 118.9126,40.06403 118.7822,40.18576 118.9271,40.17474
2669 118.9126,40.06403 119.0572,40.05282 118.9271,40.17474 119.072,40.1635
2670 119.0572,40.05282 119.2017,40.04141 119.072,40.1635 119.2168,40.15207
2671 119.2017,40.04141 119.3463,40.0298 119.2168,40.15207 119.3616,40.14044
2672 119.3463,40.0298 119.4907,40.01799 119.3616,40.14044 119.5063,40.12861
