2055 118.2012,39.00001 118.3435,38.98981 118.2142,39.1106 118.3568,39.10038
2056 118.3435,38.98981 118.4857,38.97941 118.3568,39.10038 118.4992,39.08996
2057 118.4857,38.97941 118.6279,38.96881 118.4992,39.08996 118.6416,39.07934
2114 117.9291,39.13046 118.0717,39.12063 117.9416,39.24112 118.0845,39.23127
2115 118.0717,39.12063 118.2142,39.1106 118.0845,39.23127 118.2273,39.22122
2116 118.2142,39.1106 118.3568,39.10038 118.2273,39.22122 118.3701,39.21097
2117 118.3568,39.10038 118.4992,39.08996 118.3701,39.21097 118.5128,39.20053
2118 118.4992,39.08996 118.6416,39.07934 118.5128,39.20053 118.6555,39.18989
2119 118.6416,39.07934 118.784,39.06853 118.6555,39.18989 118.7981,39.17906
2120 118.784,39.06853 118.9263,39.05752 118.7981,39.17906 118.9407,39.16803
2175 117.9416,39.24112 118.0845,39.23127 117.9542,39.35179 118.0974,39.34192
2176 118.0845,39.23127 118.2273,39.22122 118.0974,39.34192 118.2404,39.33185
2177 118.2273,39.22122 118.3701,39.21097 118.2404,39.33185 118.3835,39.32159
2178 118.3701,39.21097 118.5128,39.20053 118.3835,39.32159 118.5264,39.31113
2179 118.5128,39.20053 118.6555,39.18989 118.5264,39.31113 118.6694,39.30046
2180 118.6555,39.18989 118.7981,39.17906 118.6694,39.30046 118.8122,39.28961
2181 118.7981,39.17906 118.9407,39.16803 118.8122,39.28961 118.9551,39.27856
2182 118.9407,39.16803 119.0832,39.1568 118.9551,39.27856 119.0978,39.2673
2236 117.9542,39.35179 118.0974,39.34192 117.9669,39.46249 118.1103,39.4526
2237 118.0974,39.34192 118.2404,39.33185 118.1103,39.4526 118.2536,39.44251
2238 118.2404,39.33185 118.3835,39.32159 118.2536,39.44251 118.3969,39.43222
2239 118.3835,39.32159 118.5264,39.31113 118.3969,39.43222 118.5401,39.42174
2240 118.5264,39.31113 118.6694,39.30046 118.5401,39.42174 118.6833,39.41106
2241 118.6694,39.30046 118.8122,39.28961 118.6833,39.41106 118.8264,39.40018
2242 118.8122,39.28961 118.9551,39.27856 118.8264,39.40018 118.9695,39.38911
2243 118.9551,39.27856 119.0978,39.2673 118.9695,39.38911 119.1125,39.37783
2244 119.0978,39.2673 119.2406,39.25586 119.1125,39.37783 119.2555,39.36636
2296 117.8235,39.47218 117.9669,39.46249 117.8359,39.58291 117.9796,39.5732
2297 117.9669,39.46249 118.1103,39.4526 117.9796,39.5732 118.1232,39.56329
2298 118.1103,39.4526 118.2536,39.44251 118.1232,39.56329 118.2668,39.55318
