2272 114.3702,39.64511 114.5144,39.6402 114.3765,39.75619 114.521,39.75127
2273 114.5144,39.6402 114.6587,39.63509 114.521,39.75127 114.6654,39.74615
2274 114.6587,39.63509 114.8028,39.62978 114.6654,39.74615 114.8099,39.74083
2275 114.8028,39.62978 114.947,39.62427 114.8099,39.74083 114.9543,39.73531
2333 114.3765,39.75619 114.521,39.75127 114.3828,39.86729 114.5275,39.86237
2334 114.521,39.75127 114.6654,39.74615 114.5275,39.86237 114.6722,39.85723
2335 114.6654,39.74615 114.8099,39.74083 114.6722,39.85723 114.8169,39.8519
2336 114.8099,39.74083 114.9543,39.73531 114.8169,39.8519 114.9616,39.84637
2337 114.9543,39.73531 115.0987,39.72958 114.9616,39.84637 115.1063,39.84063
2338 115.0987,39.72958 115.2431,39.72366 115.1063,39.84063 115.2509,39.8347
2392 114.0932,39.87655 114.238,39.87202 114.099,39.98769 114.244,39.98316
2393 114.238,39.87202 114.3828,39.86729 114.244,39.98316 114.3891,39.97842
2394 114.3828,39.86729 114.5275,39.86237 114.3891,39.97842 114.5341,39.97348
2395 114.5275,39.86237 114.6722,39.85723 114.5341,39.97348 114.6791,39.96833
2396 114.6722,39.85723 114.8169,39.8519 114.6791,39.96833 114.824,39.96299
2397 114.8169,39.8519 114.9616,39.84637 114.824,39.96299 114.969,39.95745
2398 114.9616,39.84637 115.1063,39.84063 114.969,39.95745 115.1139,39.9517
2399 115.1063,39.84063 115.2509,39.8347 115.1139,39.9517 115.2588,39.94576
2400 115.2509,39.8347 115.3955,39.82856 115.2588,39.94576 115.4036,39.93961
2452 113.9539,39.99203 114.099,39.98769 113.9594,40.1032 114.1048,40.09886
2453 114.099,39.98769 114.244,39.98316 114.1048,40.09886 114.2501,40.09431
2454 114.244,39.98316 114.3891,39.97842 114.2501,40.09431 114.3954,40.08956
2455 114.3891,39.97842 114.5341,39.97348 114.3954,40.08956 114.5407,40.08461
2456 114.5341,39.97348 114.6791,39.96833 114.5407,40.08461 114.6859,40.07946
2457 114.6791,39.96833 114.824,39.96299 114.6859,40.07946 114.8311,40.0741
2458 114.824,39.96299 114.969,39.95745 114.8311,40.0741 114.9763,40.06855
